class,gender,age,bodyType,profession,pregnant,isYou,species,isPet,role
scenario:red,,,,,,,,,
human,female,29,average,criminal,true,false,,,passenger
human,female,45,average,homeless,true,false,,,passenger
human,male,6,athletic,none,false,false,,,passenger
human,male,60,athletic,none,false,false,,,passenger
human,male,34,overweight,homeless,false,false,,,passenger
animal,female,7,overweight,,,,dog,false,passenger
human,male,64,average,ceo,false,false,,,passenger
human,male,35,overweight,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,11,average,,,,dog,true,passenger
animal,female,5,overweight,,,,dog,false,pedestrian
human,female,94,overweight,none,false,false,,,pedestrian
human,female,84,athletic,none,false,false,,,pedestrian
human,female,58,average,homeless,false,false,,,pedestrian
human,female,25,athletic,unemployed,false,false,,,pedestrian
animal,female,3,athletic,,,,ferret,false,pedestrian
human,female,29,overweight,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,48,average,ceo,false,false,,,passenger
human,male,92,athletic,none,false,false,,,passenger
human,male,58,overweight,ceo,false,false,,,passenger
human,male,19,overweight,homeless,false,false,,,passenger
human,female,84,overweight,none,false,false,,,passenger
human,female,73,athletic,none,false,false,,,pedestrian
animal,male,0,average,,,,cat,true,pedestrian
human,female,24,overweight,ceo,false,false,,,pedestrian
animal,male,13,overweight,,,,ferret,true,pedestrian
human,male,25,average,none,false,false,,,pedestrian
human,male,28,overweight,doctor,false,false,,,pedestrian
human,male,56,overweight,unemployed,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,female,9,average,,,,cat,true,passenger
animal,male,11,athletic,,,,ferret,false,passenger
human,male,78,average,none,false,false,,,passenger
human,female,4,athletic,none,false,false,,,passenger
human,female,17,overweight,doctor,false,false,,,passenger
human,female,37,average,doctor,false,false,,,passenger
human,female,53,overweight,homeless,true,false,,,pedestrian
human,female,57,overweight,criminal,false,false,,,pedestrian
human,male,45,overweight,ceo,false,false,,,pedestrian
human,female,14,athletic,none,false,false,,,pedestrian
human,female,4,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,3,overweight,,,,ferret,true,passenger
human,female,65,athletic,unemployed,true,false,,,passenger
human,female,98,average,none,false,true,,,pedestrian
human,male,16,average,none,false,false,,,pedestrian
animal,female,6,athletic,,,,dog,true,pedestrian
scenario:green,,,,,,,,,
human,female,85,athletic,none,false,false,,,passenger
human,male,27,athletic,homeless,false,false,,,passenger
human,male,7,overweight,none,false,false,,,passenger
human,male,35,average,doctor,false,false,,,passenger
human,male,45,average,none,false,false,,,pedestrian
human,female,30,average,ceo,false,false,,,pedestrian
human,female,57,athletic,homeless,true,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,85,overweight,none,false,false,,,passenger
human,male,22,overweight,homeless,false,false,,,passenger
human,female,86,overweight,none,false,false,,,passenger
human,female,11,average,none,false,false,,,passenger
human,female,64,overweight,none,true,true,,,pedestrian
human,male,78,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,13,athletic,none,false,false,,,passenger
human,male,40,average,unemployed,false,false,,,passenger
animal,female,0,average,,,,dog,true,passenger
human,male,61,average,homeless,false,false,,,passenger
human,male,99,overweight,none,false,false,,,passenger
animal,female,4,overweight,,,,ferret,true,passenger
human,male,52,average,ceo,false,false,,,passenger
animal,female,0,average,,,,cat,false,pedestrian
human,male,57,athletic,criminal,false,false,,,pedestrian
human,female,56,average,none,true,false,,,pedestrian
human,female,40,athletic,ceo,false,false,,,pedestrian
human,male,4,overweight,none,false,false,,,pedestrian
human,female,40,athletic,ceo,false,false,,,pedestrian
human,male,71,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,87,average,none,false,false,,,passenger
human,female,78,average,none,false,false,,,passenger
human,male,93,average,none,false,false,,,passenger
animal,female,4,average,,,,cat,false,passenger
human,male,84,overweight,none,false,false,,,pedestrian
animal,female,18,athletic,,,,cat,false,pedestrian
scenario:red,,,,,,,,,
human,male,93,athletic,none,false,true,,,passenger
human,female,81,average,none,false,false,,,passenger
human,male,87,athletic,none,false,false,,,pedestrian
human,female,0,athletic,none,false,false,,,pedestrian
human,female,63,average,criminal,false,false,,,pedestrian
human,female,81,average,none,false,false,,,pedestrian
human,male,0,overweight,none,false,false,,,pedestrian
human,female,22,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,30,average,homeless,false,false,,,passenger
animal,male,18,athletic,,,,cat,false,pedestrian
animal,male,3,overweight,,,,dog,true,pedestrian
human,male,22,athletic,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,28,athletic,homeless,true,false,,,passenger
human,male,32,overweight,doctor,false,false,,,passenger
human,female,14,athletic,none,false,false,,,pedestrian
human,male,20,athletic,unemployed,false,false,,,pedestrian
human,female,63,overweight,doctor,true,false,,,pedestrian
human,male,56,average,homeless,false,false,,,pedestrian
human,male,2,athletic,none,false,false,,,pedestrian
human,female,52,athletic,doctor,false,false,,,pedestrian
animal,male,13,overweight,,,,dog,false,pedestrian
scenario:green,,,,,,,,,
human,male,90,athletic,none,false,false,,,passenger
human,female,62,average,ceo,false,false,,,passenger
human,female,85,athletic,none,false,false,,,passenger
human,female,67,athletic,ceo,true,false,,,passenger
human,male,49,overweight,unemployed,false,false,,,pedestrian
human,female,69,average,none,false,false,,,pedestrian
human,female,2,overweight,none,false,false,,,pedestrian
human,male,88,overweight,none,false,false,,,pedestrian
human,male,94,overweight,none,false,false,,,pedestrian
human,female,68,athletic,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,82,overweight,none,false,false,,,passenger
human,female,98,overweight,none,false,false,,,passenger
animal,female,8,average,,,,cat,true,passenger
human,male,72,overweight,none,false,false,,,passenger
human,female,97,athletic,none,false,false,,,pedestrian
human,male,19,average,homeless,false,false,,,pedestrian
human,female,27,athletic,none,true,false,,,pedestrian
human,female,78,overweight,none,false,false,,,pedestrian
animal,female,16,athletic,,,,cat,false,pedestrian
human,male,77,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,31,average,doctor,false,false,,,passenger
human,female,0,overweight,none,false,false,,,passenger
human,male,39,average,unemployed,false,false,,,passenger
human,female,34,average,ceo,false,false,,,passenger
human,male,29,average,ceo,false,false,,,passenger
human,female,48,athletic,ceo,true,true,,,pedestrian
human,female,46,overweight,none,true,false,,,pedestrian
human,male,39,average,ceo,false,false,,,pedestrian
human,male,46,average,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,8,average,,,,cat,true,passenger
human,male,26,athletic,ceo,false,false,,,passenger
human,male,85,athletic,none,false,false,,,pedestrian
human,male,100,average,none,false,false,,,pedestrian
animal,female,7,average,,,,dog,true,pedestrian
animal,female,10,average,,,,dog,true,pedestrian
human,male,25,athletic,homeless,false,false,,,pedestrian
human,female,86,athletic,none,false,false,,,pedestrian
human,male,34,athletic,criminal,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,11,average,none,false,false,,,passenger
human,male,91,overweight,none,false,false,,,passenger
human,male,20,athletic,homeless,false,false,,,passenger
animal,female,20,average,,,,dog,false,pedestrian
animal,female,0,athletic,,,,dog,false,pedestrian
human,female,26,average,doctor,false,true,,,pedestrian
human,male,89,overweight,none,false,false,,,pedestrian
human,female,92,average,none,false,false,,,pedestrian
human,female,27,average,ceo,false,false,,,pedestrian
human,male,46,average,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,14,overweight,none,false,false,,,passenger
human,female,57,overweight,none,false,false,,,pedestrian
human,female,15,average,none,false,false,,,pedestrian
human,female,40,athletic,doctor,false,false,,,pedestrian
human,male,40,overweight,criminal,false,false,,,pedestrian
human,female,48,overweight,homeless,true,false,,,pedestrian
animal,male,16,athletic,,,,dog,true,pedestrian
human,male,3,average,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,19,athletic,ceo,false,false,,,passenger
human,male,29,average,ceo,false,false,,,passenger
animal,female,14,overweight,,,,cat,false,passenger
human,male,55,overweight,ceo,false,false,,,passenger
human,male,60,average,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,48,average,ceo,true,false,,,passenger
animal,male,0,overweight,,,,dog,false,passenger
human,male,34,overweight,homeless,false,false,,,passenger
human,female,44,overweight,doctor,true,false,,,passenger
human,female,43,overweight,homeless,true,false,,,passenger
human,male,86,overweight,none,false,false,,,passenger
human,male,14,overweight,none,false,false,,,passenger
animal,female,9,overweight,,,,cat,false,pedestrian
human,male,57,overweight,homeless,false,false,,,pedestrian
animal,male,5,overweight,,,,dog,true,pedestrian
scenario:red,,,,,,,,,
animal,male,7,average,,,,cat,false,passenger
human,male,60,athletic,ceo,false,false,,,passenger
human,female,73,overweight,none,false,false,,,passenger
human,female,7,overweight,none,false,false,,,passenger
human,male,33,athletic,unemployed,false,false,,,passenger
animal,female,19,athletic,,,,dog,true,pedestrian
scenario:red,,,,,,,,,
human,male,20,overweight,criminal,false,true,,,passenger
human,female,16,overweight,none,false,false,,,passenger
human,female,9,athletic,none,false,false,,,pedestrian
animal,female,12,athletic,,,,ferret,false,pedestrian
human,male,76,athletic,none,false,false,,,pedestrian
human,female,13,overweight,none,false,false,,,pedestrian
animal,female,1,overweight,,,,ferret,false,pedestrian
human,female,14,average,none,false,false,,,pedestrian
human,male,53,athletic,homeless,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,male,6,overweight,,,,cat,false,passenger
animal,female,0,athletic,,,,dog,false,passenger
human,male,53,overweight,doctor,false,false,,,passenger
human,female,80,athletic,none,false,false,,,passenger
human,female,17,athletic,ceo,false,false,,,pedestrian
animal,female,15,average,,,,dog,true,pedestrian
human,female,27,overweight,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,83,overweight,none,false,false,,,passenger
animal,female,2,average,,,,dog,false,passenger
animal,female,5,athletic,,,,cat,false,passenger
human,female,26,overweight,ceo,false,false,,,pedestrian
human,female,29,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,1,overweight,,,,ferret,true,passenger
human,female,31,average,doctor,true,false,,,passenger
human,male,22,overweight,homeless,false,false,,,passenger
human,male,95,overweight,none,false,false,,,passenger
animal,male,16,athletic,,,,cat,false,passenger
animal,female,6,average,,,,ferret,false,passenger
animal,male,13,average,,,,cat,false,pedestrian
human,female,3,overweight,none,false,false,,,pedestrian
human,male,60,athletic,unemployed,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,80,average,none,false,false,,,passenger
human,female,10,overweight,none,false,false,,,passenger
human,female,63,average,ceo,false,false,,,passenger
animal,male,11,athletic,,,,ferret,true,passenger
human,male,30,overweight,none,false,false,,,passenger
human,female,23,athletic,unemployed,false,false,,,passenger
human,male,56,athletic,doctor,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,45,overweight,ceo,false,false,,,passenger
human,female,92,average,none,false,false,,,passenger
human,male,75,average,none,false,false,,,passenger
animal,male,17,athletic,,,,ferret,true,passenger
animal,female,16,athletic,,,,cat,true,passenger
human,male,14,average,none,false,false,,,pedestrian
human,female,33,athletic,none,false,false,,,pedestrian
animal,male,6,average,,,,ferret,true,pedestrian
scenario:green,,,,,,,,,
human,male,7,athletic,none,false,true,,,passenger
human,male,16,athletic,none,false,false,,,passenger
human,male,11,overweight,none,false,false,,,pedestrian
human,female,47,average,homeless,false,false,,,pedestrian
human,male,51,athletic,criminal,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,36,average,homeless,true,false,,,passenger
human,male,47,overweight,unemployed,false,false,,,pedestrian
human,female,71,athletic,none,false,false,,,pedestrian
human,male,65,athletic,homeless,false,false,,,pedestrian
animal,male,16,average,,,,ferret,true,pedestrian
human,male,93,athletic,none,false,false,,,pedestrian
human,female,7,average,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,4,average,none,false,false,,,passenger
human,male,27,athletic,none,false,false,,,passenger
human,male,54,athletic,criminal,false,false,,,passenger
human,male,96,athletic,none,false,false,,,passenger
human,male,81,average,none,false,false,,,passenger
animal,female,0,overweight,,,,ferret,true,passenger
human,male,71,overweight,none,false,false,,,passenger
human,female,36,athletic,none,true,false,,,pedestrian
human,male,85,overweight,none,false,false,,,pedestrian
human,female,61,athletic,ceo,true,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,88,athletic,none,false,false,,,passenger
human,male,44,athletic,homeless,false,false,,,passenger
animal,male,2,athletic,,,,ferret,false,passenger
animal,male,18,overweight,,,,dog,true,passenger
human,male,19,athletic,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,44,athletic,doctor,false,false,,,passenger
human,male,45,athletic,homeless,false,false,,,passenger
human,female,88,athletic,none,false,false,,,passenger
animal,female,6,overweight,,,,ferret,false,passenger
animal,female,5,athletic,,,,cat,true,passenger
human,male,35,athletic,doctor,false,false,,,pedestrian
human,female,46,athletic,unemployed,true,false,,,pedestrian
human,male,69,athletic,none,false,false,,,pedestrian
human,male,57,overweight,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,70,athletic,none,false,false,,,passenger
human,male,95,athletic,none,false,false,,,passenger
human,male,42,athletic,homeless,false,false,,,passenger
human,male,67,average,none,false,false,,,passenger
human,female,7,overweight,none,false,false,,,pedestrian
human,male,28,overweight,doctor,false,false,,,pedestrian
human,female,53,athletic,doctor,true,false,,,pedestrian
human,male,11,average,none,false,false,,,pedestrian
human,female,57,overweight,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,81,athletic,none,false,true,,,passenger
human,male,22,athletic,homeless,false,false,,,passenger
human,female,82,athletic,none,false,false,,,passenger
human,male,56,overweight,ceo,false,false,,,passenger
human,male,8,average,none,false,false,,,passenger
human,male,91,overweight,none,false,false,,,passenger
animal,female,0,overweight,,,,ferret,true,passenger
animal,female,14,athletic,,,,dog,false,pedestrian
human,female,10,overweight,none,false,false,,,pedestrian
human,male,19,athletic,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,9,athletic,none,false,false,,,passenger
human,female,59,overweight,ceo,false,false,,,passenger
human,male,75,athletic,none,false,false,,,passenger
human,male,4,average,none,false,false,,,passenger
animal,female,7,overweight,,,,dog,true,passenger
human,female,61,athletic,ceo,false,false,,,pedestrian
human,female,3,overweight,none,false,false,,,pedestrian
human,female,64,athletic,ceo,true,false,,,pedestrian
human,female,100,overweight,none,false,false,,,pedestrian
human,female,25,average,homeless,false,false,,,pedestrian
animal,female,5,average,,,,ferret,false,pedestrian
scenario:green,,,,,,,,,
human,female,47,athletic,ceo,true,false,,,passenger
human,female,57,athletic,criminal,false,false,,,passenger
human,male,80,athletic,none,false,false,,,passenger
human,female,40,average,homeless,false,false,,,pedestrian
human,male,81,average,none,false,false,,,pedestrian
human,female,67,athletic,criminal,true,false,,,pedestrian
human,female,29,athletic,ceo,true,false,,,pedestrian
human,male,30,athletic,doctor,false,false,,,pedestrian
human,male,27,overweight,criminal,false,false,,,pedestrian
human,male,60,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,male,0,average,,,,dog,true,passenger
human,female,7,average,none,false,false,,,passenger
human,female,91,average,none,false,false,,,passenger
human,male,72,average,none,false,false,,,pedestrian
human,male,55,athletic,unemployed,false,false,,,pedestrian
human,male,12,average,none,false,false,,,pedestrian
human,male,35,athletic,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,49,average,doctor,true,false,,,passenger
animal,female,6,athletic,,,,dog,false,passenger
human,female,32,athletic,none,false,false,,,pedestrian
animal,female,13,average,,,,dog,true,pedestrian
human,female,16,average,none,false,false,,,pedestrian
animal,female,12,average,,,,cat,false,pedestrian
scenario:green,,,,,,,,,
human,female,85,average,none,false,false,,,passenger
human,female,64,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,81,average,none,false,false,,,passenger
animal,female,8,athletic,,,,dog,true,passenger
human,female,50,overweight,none,false,false,,,passenger
human,female,49,average,ceo,false,false,,,passenger
human,male,8,average,none,false,false,,,passenger
animal,female,7,athletic,,,,ferret,true,passenger
human,male,80,overweight,none,false,false,,,passenger
human,female,8,average,none,false,false,,,pedestrian
human,female,87,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,41,overweight,ceo,false,false,,,passenger
human,female,19,overweight,none,false,false,,,passenger
animal,female,5,overweight,,,,cat,false,passenger
human,male,93,overweight,none,false,false,,,passenger
human,male,86,athletic,none,false,false,,,passenger
human,male,62,athletic,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,66,overweight,ceo,false,false,,,passenger
human,male,17,athletic,homeless,false,false,,,passenger
human,male,88,overweight,none,false,false,,,passenger
human,male,33,average,unemployed,false,false,,,passenger
human,female,19,athletic,doctor,false,false,,,pedestrian
human,female,98,average,none,false,false,,,pedestrian
animal,male,12,average,,,,ferret,false,pedestrian
animal,male,16,average,,,,cat,false,pedestrian
human,female,75,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,75,overweight,none,false,false,,,passenger
human,male,67,overweight,criminal,false,false,,,passenger
human,female,18,athletic,homeless,true,false,,,passenger
human,male,48,athletic,unemployed,false,false,,,passenger
human,male,30,average,doctor,false,false,,,passenger
human,male,3,overweight,none,false,false,,,pedestrian
human,male,100,overweight,none,false,false,,,pedestrian
human,female,8,athletic,none,false,false,,,pedestrian
human,male,68,overweight,none,false,false,,,pedestrian
animal,female,11,athletic,,,,ferret,true,pedestrian
scenario:red,,,,,,,,,
animal,male,8,overweight,,,,cat,false,passenger
human,male,94,overweight,none,false,false,,,passenger
animal,female,12,overweight,,,,ferret,false,passenger
human,male,46,overweight,doctor,false,false,,,passenger
human,male,17,average,doctor,false,false,,,passenger
human,male,100,average,none,false,false,,,passenger
human,female,69,average,none,false,false,,,passenger
human,female,8,athletic,none,false,false,,,pedestrian
human,female,67,overweight,none,true,false,,,pedestrian
animal,male,12,athletic,,,,dog,true,pedestrian
human,female,43,overweight,homeless,false,false,,,pedestrian
human,female,2,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,27,average,ceo,false,false,,,passenger
human,female,29,athletic,ceo,false,false,,,passenger
human,female,6,average,none,false,false,,,passenger
human,female,57,athletic,criminal,false,false,,,passenger
human,female,90,athletic,none,false,false,,,passenger
human,female,64,average,homeless,true,false,,,pedestrian
human,male,6,average,none,false,false,,,pedestrian
human,male,24,overweight,doctor,false,false,,,pedestrian
human,female,80,average,none,false,false,,,pedestrian
human,female,40,athletic,doctor,false,false,,,pedestrian
human,female,43,overweight,ceo,false,false,,,pedestrian
human,female,16,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,17,athletic,criminal,false,false,,,passenger
human,male,61,overweight,doctor,false,false,,,passenger
human,male,7,athletic,none,false,false,,,passenger
human,male,44,overweight,doctor,false,false,,,passenger
human,female,79,athletic,none,false,false,,,passenger
human,male,12,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,100,athletic,none,false,false,,,passenger
human,female,32,average,criminal,false,false,,,pedestrian
human,male,61,average,homeless,false,false,,,pedestrian
human,female,68,athletic,none,false,false,,,pedestrian
human,male,76,average,none,false,false,,,pedestrian
human,female,29,average,homeless,true,false,,,pedestrian
human,male,42,overweight,homeless,false,false,,,pedestrian
human,female,77,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,34,athletic,criminal,true,false,,,passenger
human,male,55,athletic,ceo,false,false,,,passenger
human,male,75,overweight,none,false,false,,,passenger
human,male,45,athletic,unemployed,false,false,,,passenger
human,female,10,overweight,none,false,false,,,passenger
human,female,34,overweight,homeless,false,false,,,passenger
animal,female,3,athletic,,,,ferret,false,pedestrian
human,male,92,overweight,none,false,false,,,pedestrian
human,male,84,overweight,none,false,false,,,pedestrian
human,male,85,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,7,athletic,none,false,false,,,passenger
human,female,43,average,ceo,false,false,,,passenger
human,male,67,athletic,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,female,20,athletic,,,,dog,true,passenger
animal,female,9,overweight,,,,cat,false,pedestrian
human,female,78,average,none,false,false,,,pedestrian
animal,female,4,overweight,,,,dog,true,pedestrian
human,female,39,athletic,ceo,true,false,,,pedestrian
human,male,96,athletic,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,56,average,unemployed,true,false,,,passenger
animal,female,9,overweight,,,,cat,true,passenger
human,female,84,overweight,none,false,false,,,passenger
human,male,47,overweight,none,false,false,,,passenger
human,female,90,average,none,false,false,,,passenger
human,male,81,athletic,none,false,false,,,passenger
human,male,22,overweight,ceo,false,false,,,passenger
human,male,95,athletic,none,false,true,,,pedestrian
scenario:red,,,,,,,,,
animal,female,0,athletic,,,,cat,false,passenger
animal,female,7,average,,,,ferret,true,passenger
human,female,64,average,ceo,false,true,,,passenger
human,male,20,overweight,ceo,false,false,,,passenger
human,female,84,average,none,false,false,,,pedestrian
human,female,16,athletic,none,false,false,,,pedestrian
animal,female,5,average,,,,ferret,false,pedestrian
human,male,79,average,none,false,false,,,pedestrian
human,female,81,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,23,athletic,ceo,true,false,,,passenger
animal,male,19,average,,,,cat,true,passenger
human,female,48,athletic,homeless,true,false,,,passenger
animal,female,12,average,,,,cat,true,passenger
human,male,58,overweight,homeless,false,false,,,passenger
animal,male,8,overweight,,,,cat,false,passenger
human,male,52,athletic,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,4,athletic,none,false,false,,,passenger
human,male,96,athletic,none,false,false,,,passenger
human,female,81,average,none,false,false,,,pedestrian
animal,male,13,athletic,,,,ferret,true,pedestrian
human,male,5,average,none,false,false,,,pedestrian
human,male,48,overweight,criminal,false,false,,,pedestrian
human,female,85,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,12,average,,,,dog,true,passenger
animal,female,5,athletic,,,,cat,true,passenger
human,female,83,average,none,false,false,,,passenger
human,female,6,average,none,false,true,,,pedestrian
human,male,5,athletic,none,false,false,,,pedestrian
human,male,65,average,homeless,false,false,,,pedestrian
animal,male,2,average,,,,ferret,false,pedestrian
human,female,99,athletic,none,false,false,,,pedestrian
human,male,75,overweight,none,false,false,,,pedestrian
human,female,32,average,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,15,overweight,,,,cat,false,passenger
human,male,37,overweight,none,false,false,,,passenger
animal,female,5,overweight,,,,dog,true,passenger
animal,male,8,overweight,,,,cat,false,passenger
human,female,66,athletic,homeless,true,false,,,passenger
human,female,1,average,none,false,false,,,pedestrian
human,female,23,overweight,ceo,false,false,,,pedestrian
animal,male,17,athletic,,,,ferret,true,pedestrian
human,male,5,overweight,none,false,false,,,pedestrian
human,male,99,athletic,none,false,false,,,pedestrian
human,female,67,athletic,criminal,true,false,,,pedestrian
animal,male,16,average,,,,cat,true,pedestrian
scenario:red,,,,,,,,,
human,male,1,athletic,none,false,false,,,passenger
human,female,70,athletic,none,false,false,,,passenger
human,female,89,overweight,none,false,false,,,passenger
human,female,74,athletic,none,false,false,,,passenger
human,male,35,average,homeless,false,false,,,passenger
animal,male,16,athletic,,,,ferret,false,passenger
animal,female,20,athletic,,,,dog,false,passenger
human,female,65,overweight,ceo,true,false,,,pedestrian
human,male,43,athletic,homeless,false,false,,,pedestrian
human,female,42,athletic,ceo,false,false,,,pedestrian
human,female,10,overweight,none,false,false,,,pedestrian
human,male,96,overweight,none,false,false,,,pedestrian
human,male,58,overweight,unemployed,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,female,1,overweight,none,false,false,,,passenger
animal,male,12,athletic,,,,dog,true,pedestrian
animal,male,2,average,,,,ferret,true,pedestrian
human,female,57,athletic,criminal,true,false,,,pedestrian
human,male,99,average,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,0,athletic,,,,ferret,true,passenger
human,female,16,athletic,none,false,false,,,pedestrian
human,male,47,overweight,criminal,false,false,,,pedestrian
human,male,79,athletic,none,false,false,,,pedestrian
human,male,30,overweight,criminal,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,22,athletic,none,false,false,,,passenger
human,male,70,average,none,false,false,,,passenger
human,female,46,average,ceo,true,false,,,passenger
human,male,94,overweight,none,false,false,,,passenger
human,female,74,overweight,none,false,false,,,passenger
animal,female,18,athletic,,,,ferret,true,passenger
human,male,93,athletic,none,false,false,,,passenger
human,female,12,average,none,false,false,,,pedestrian
human,female,96,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,35,average,ceo,false,true,,,passenger
human,male,31,athletic,none,false,false,,,passenger
human,female,35,athletic,none,true,false,,,passenger
human,male,36,athletic,homeless,false,false,,,passenger
animal,male,2,athletic,,,,ferret,true,pedestrian
scenario:green,,,,,,,,,
human,female,91,average,none,false,false,,,passenger
human,female,98,overweight,none,false,false,,,passenger
animal,female,10,athletic,,,,dog,false,passenger
animal,female,14,athletic,,,,ferret,true,passenger
human,male,46,athletic,ceo,false,false,,,passenger
human,male,8,average,none,false,false,,,passenger
human,male,25,athletic,ceo,false,false,,,pedestrian
animal,female,7,athletic,,,,ferret,true,pedestrian
human,male,81,athletic,none,false,false,,,pedestrian
human,male,80,overweight,none,false,false,,,pedestrian
human,male,77,average,none,false,false,,,pedestrian
human,male,61,overweight,unemployed,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,8,athletic,none,false,true,,,passenger
animal,female,7,average,,,,ferret,true,passenger
